word,question_1,choices_1
well,"In the following definition:
the power or ability to perform a task well, especially because of training or practice.

What is the intended meaning for the word 'well' when choosing out of these definitions?","Modified word: well_1   POS: noun Definition: a deep hole dug in the ground to get water, oil, gas, or other natural resources.  Modified word: well_2   POS: adverb Definition: in a close or familiar way.  Modified word: well_3   POS: adverb Definition: in a kind way.  Modified word: well_4   POS: adverb Definition: with reason.  Modified word: well_5   POS: noun Definition: a good source.  Modified word: well_6   POS: adverb Definition: to a great amount or extent.  Modified word: well_7   POS: adverb Definition: in a good, proper, or acceptable way.  Modified word: well_8   POS: noun Definition: a spring, pool, or other natural source of water.  Modified word: well_9   POS: adverb Definition: with skill.  Modified word: well_10   POS: adverb Definition: carefully; completely."
nail,"In the following definition:
the foot of a mammal with four legs and curved nails or claws, such as a dog or cat.

What is the intended meaning for the word 'nail' when choosing out of these definitions?","Modified word: nail_1   POS: noun Definition: a hard, thin growth on the end of a finger or toe.  Modified word: nail_2   POS: noun Definition: a thin, pointed piece of metal with a flat top. You hammer nails into pieces of wood or other material in order to fasten them together."
flat,"In the following definition:
a wide, flat limb on a whale, turtle, or other animal that is used for swimming.

What is the intended meaning for the word 'flat' when choosing out of these definitions?","Modified word: flat_1   POS: noun Definition: a British word for a group of connected rooms on one floor used as a place to live. Flat usually has the same meaning as apartment.  Modified word: flat_2   POS: adjective Definition: having little interest, energy, or flavor; dull.  Modified word: flat_3   POS: adjective Definition: having a surface that is straight and even; level.  Modified word: flat_4   POS: adjective Definition: having little or no air; deflated.  Modified word: flat_5   POS: adjective Definition: lying pressed against a level surface.  Modified word: flat_6   POS: adjective Definition: having a surface that does not have higher and lower places; smooth; even."
bill,"In the following definition:
an official change made to a bill, law, or other document.

What is the intended meaning for the word 'bill' when choosing out of these definitions?",Modified word: bill_1   POS: noun Definition: the hard part of a bird's mouth.  Modified word: bill_2   POS: noun Definition: a law that people in government are considering but have not voted on yet.  Modified word: bill_3   POS: noun Definition: a statement that a business sends to a customer to show how much the customer must pay for goods or services that the business provided.  Modified word: bill_4   POS: noun Definition: a piece of paper money.
ground,"In the following definition:
a pole or stake placed upright in the ground to mark or support something.

What is the intended meaning for the word 'ground' when choosing out of these definitions?",Modified word: ground_1   POS: verb Definition: past tense and past participle of grind.  Modified word: ground_2   POS: noun Definition: (often plural) a piece of land that has a special purpose.  Modified word: ground_3   POS: noun Definition: (sometimes plural) the reason or basis for saying or doing something.  Modified word: ground_4   POS: noun Definition: (always plural: grounds) tiny bits that settle at the bottom of a liquid.  Modified word: ground_5   POS: noun Definition: the earth's solid surface; land.
kind,"In the following definition:
a kind action that you do for someone.

What is the intended meaning for the word 'kind' when choosing out of these definitions?",Modified word: kind_1   POS: verb Definition: if you do not take kindly to something you do not like it.  Modified word: kind_2   POS: noun Definition: a group with similar characteristics or a particular type.  Modified word: kind_3   POS: adjective Definition: a kind hearted person is one who cares a lot about other people and always wants to help them.  Modified word: kind_4   POS: adjective Definition: if something is of a kind it is not of a very good quality.  Modified word: kind_5   POS: noun Definition: if you do something in kind you do the same thing to someone that they have just done to you.  Modified word: kind_6   POS: noun Definition: of payment given in the form of goods or services and not money.  Modified word: kind_7   POS: adjective Definition: generous helpful and caring about other people s feelings.  Modified word: kind_8   POS: adverb Definition: you say kind of to mean that you are not certain about something or that it is only partly true.  Modified word: kind_9   POS: adjective Definition: a kindly person or action is a kind one.
sole,"In the following definition:
(pl.) such projections on the sole of an athletic shoe, or a pair of shoes so equipped.

What is the intended meaning for the word 'sole' when choosing out of these definitions?","Modified word: sole_1   POS: noun Definition: the undersurface of something that comes in contact with the ground, esp. the foot, a shoe, or the like.  Modified word: sole_2   POS: adjective Definition: not shared; exclusive.  Modified word: sole_3   POS: adjective Definition: single and alone, not one among others; only.  Modified word: sole_4   POS: noun Definition: any of various marine flatfishes, esp. those used for food."
patient,"In the following definition:
used to tell someone to be more calm patient etc.

What is the intended meaning for the word 'patient' when choosing out of these definitions?",Modified word: patient_1   POS: noun Definition: someone receiving medical treatment from a doctor  Modified word: patient_2   POS: adjective Definition: able to wait calmly for a long time or to accept difficulties people 's annoying behavior etc without becoming angry
tear,"In the following definition:
fill with tear or shed tear.

What is the intended meaning for the word 'tear' when choosing out of these definitions?",Modified word: tear_1   POS: noun Definition: an opening make forcibly as by pulling apart.  Modified word: tear_2   POS: verb Definition: to separate or be separate by force.  Modified word: tear_3   POS: verb Definition: move quickly and violently.  Modified word: tear_4   POS: verb Definition: fill with tear or shed tear.  Modified word: tear_5   POS: noun Definition: an occasion for excessive eating or drinking.  Modified word: tear_6   POS: verb Definition: strip of feather.  Modified word: tear_7   POS: verb Definition: separate or cause to separate abruptly.  Modified word: tear_8   POS: noun Definition: a drop of the clear salty secrete by the saline solution lacrimal gland.  Modified word: tear_9   POS: noun Definition: the act of tear.
toast,"In the following definition:
slice of bread that have be toast.

What is the intended meaning for the word 'toast' when choosing out of these definitions?",Modified word: toast_1   POS: noun Definition: a drink in honor of or to the health of a person or event.  Modified word: toast_2   POS: noun Definition: slice of bread that have be toast.  Modified word: toast_3   POS: verb Definition: propose a toast to.  Modified word: toast_4   POS: noun Definition: a celebrity who receive much acclaim and attention.  Modified word: toast_5   POS: verb Definition: make brown and crisp by heating.  Modified word: toast_6   POS: noun Definition: a person in someone doom desperate strait.
